Patch No:,Patch Name:,Patch Hold Mode:,Patch Split Low:,Patch Split High:,Patch Arp. Mode:,Patch Arp. Speed:,Patch Arp. Length:,Patch Pick Sens.:,Sound1 Program:,Sound1 Bank LSB:,Sound1 Bank MSB:,Sound1 Quantize Mode:,Sound1 Transpose:,Sound1 Volume:,Sound1 Dynamics Sens:,Sound1 Dynamics Offs:,Sound1 Reverb:,Sound2 Program:,Sound2 Bank LSB:,Sound2 Bank MSB:,Sound2 Quantize Mode:,Sound2 Transpose:,Sound2 Volume:,Sound2 Dynamics Sens:,Sound2 Dynamics Offs:,Sound2 Reverb:,Sound3 Program:,Sound3 Bank LSB:,Sound3 Bank MSB:,Sound3 Quantize Mode:,Sound3 Transpose:,Sound3 Volume:,Sound3 Dynamics Sens:,Sound3 Dynamics Offs:,Sound3 Reverb:,Sound4 Program:,Sound4 Bank LSB:,Sound4 Bank MSB:,Sound4 Quantize Mode:,Sound4 Transpose:,Sound4 Volume:,Sound4 Dynamics Sens:,Sound4 Dynamics Offs:,Sound4 Reverb:,Hold Program:,Hold Bank LSB:,Hold Bank MSB:,Hold Quantize Mode:,Hold Transpose:,Hold Volume:,Hold Dynamics Sens:,Hold Dynamics Offs:,Hold Reverb:,Mono/Poly:,Sound1 Enable:,Sound2 Enable:,Sound3 Enable:,Sound4 Enable:,Hold Enable:
17,"Poly Program 17",SUSTAIN,216,223,SEQUENTIAL,80,40,P5,16,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,1,On,Off,Off,Off,Off
18,"Poly Program 18",SUSTAIN,216,223,SEQUENTIAL,80,40,P5,17,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,1,On,Off,Off,Off,Off
19,"Poly Program 19",SUSTAIN,216,223,SEQUENTIAL,80,40,P5,18,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,1,On,Off,Off,Off,Off
20,"Poly Program 20",SUSTAIN,216,223,SEQUENTIAL,80,40,P5,19,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,1,On,Off,Off,Off,Off
21,"Poly Program 21",SUSTAIN,216,223,SEQUENTIAL,80,40,P5,20,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,1,On,Off,Off,Off,Off
22,"Poly Program 22",SUSTAIN,216,223,SEQUENTIAL,80,40,P5,21,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,1,On,Off,Off,Off,Off
23,"Poly Program 23",SUSTAIN,216,223,SEQUENTIAL,80,40,P5,22,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,1,On,Off,Off,Off,Off
24,"Poly Program 24",SUSTAIN,216,223,SEQUENTIAL,80,40,P5,23,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,1,On,Off,Off,Off,Off
25,"Poly Program 25",SUSTAIN,216,223,SEQUENTIAL,80,40,P5,24,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,1,On,Off,Off,Off,Off
26,"Poly Program 26",SUSTAIN,216,223,SEQUENTIAL,80,40,P5,25,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,1,On,Off,Off,Off,Off
27,"Poly Program 27",SUSTAIN,216,223,SEQUENTIAL,80,40,P5,26,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,1,On,Off,Off,Off,Off
28,"Poly Program 28",SUSTAIN,216,223,SEQUENTIAL,80,40,P5,27,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,1,On,Off,Off,Off,Off
29,"Poly Program 29",SUSTAIN,216,223,SEQUENTIAL,80,40,P5,28,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,1,On,Off,Off,Off,Off
30,"Poly Program 30",SUSTAIN,216,223,SEQUENTIAL,80,40,P5,29,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,1,On,Off,Off,Off,Off
31,"Poly Program 31",SUSTAIN,216,223,SEQUENTIAL,80,40,P5,30,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,1,On,Off,Off,Off,Off
32,"Poly Program 32",SUSTAIN,216,223,SEQUENTIAL,80,40,P5,31,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,1,On,Off,Off,Off,Off
33,"Poly Program 33",SUSTAIN,216,223,SEQUENTIAL,80,40,P5,32,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,1,On,Off,Off,Off,Off
34,"Poly Program 34",SUSTAIN,216,223,SEQUENTIAL,80,40,P5,33,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,1,On,Off,Off,Off,Off
35,"Poly Program 35",SUSTAIN,216,223,SEQUENTIAL,80,40,P5,34,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,0,0,0,Auto,0,0,10,0,0,1,On,Off,Off,Off,Off
